
 Lista de Imóveis da Caixa;;Data de geração:;11/09/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444409454975 ;AL ;DELMIRO GOUVEIA ;Bairro Novo ; RUA PROJETADA, N. 1084, LT 02 QD 124 ;144.325,98;137.500,22;0.00;Não;Casa, 73.40 de área total, 73.40 de área privativa, 108.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409454975
 8444414478330 ;AL ;FEIRA GRANDE ;CENTRO ; RUA PROJETADA 10, N. 305, LT 13 QD C ;175.000,00;175.000,00;0.00;Não;Casa, 99.38 de área total, 99.38 de área privativa, 240.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414478330
 1555531792948 ;AL ;IBATEGUARA ;CENTRO ; RUA JOSE ALVES, N. 250, ;120.172,39;102.100,00;0.00;Não;Casa, 200.00 de área total, 200.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555531792948
 8555512951090 ;AL ;MACEIO ;SANTOS DUMONT ;AVENIDA ROSALVO BORGES DA SILVA, N. 624, CASA 16 LOTE 07 QUADRA N ;65.921,81;115.000,00;42.68;Não;Casa, 83.84 de área total, 49.11 de área privativa, 49.11 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555512951090
 8555527416676 ;AL ;MACEIO ;SANTA AMELIA ; AVENIDA JORGE MONTENEGRO BARROS, N. 3639, Apto 136, CS 136 ;133.475,77;220.835,19;39.56;Não;Apartamento, 57.67 de área total, 49.02 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555527416676
 8787704729265 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; ALAMEDA DAS AMENDOEIRAS, N. 406, CS 55  QD D ;111.816,50;185.000,00;39.56;Não;Casa, 77.43 de área total, 58.48 de área privativa, 89.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704729265
 1555502666549 ;AL ;MACEIO ;TRAPICHE DA BARRA ;RUA AMINADAB VALENTE, N. 594, Apto 103, ;367.093,04;576.000,00;36.27;Sim;Apartamento, 148.23 de área total, 76.63 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555502666549
 1444401933370 ;AL ;MACEIO ;SERRARIA ; TRAVESSA PRES GET VARGAS 2 ANTIGA RUA PROJETO, N. 500, Apto 401, BL IV ;232.760,93;275.340,00;15.47;Não;Apartamento, 110.82 de área total, 50.35 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444401933370
 8787705915500 ;AL ;MACEIO ;ANTARES ; RUA DR NEVES PINTO, N. 550, Apto 303, BL 01 ;223.000,00;223.000,00;0.00;Não;Apartamento, 57.52 de área total, 44.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705915500
 8787702929917 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;RUA GILBERTO VIEIRA LEITE, N. 194, Apto 105, BLOCO G  1º PAVIMENTO ;170.000,00;170.000,00;0.00;Não;Apartamento, 56.41 de área total, 48.46 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702929917
 8787704590020 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA MENINO MARCELO, N. 3850, Apto 504, BL 02 ;210.000,00;210.000,00;0.00;Não;Apartamento, 51.23 de área total, 40.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704590020
 10304791 ;AL ;MACEIO ;PONTA VERDE ;RUA DESPORTISTA HUMBERTO GUIMARAES, N. 768, Apto 203 ;786.500,00;786.500,00;0.00;Não;Apartamento, 0.00 de área total, 94.88 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10304791
 1444409972358 ;AL ;MACEIO ;PONTA VERDE ;AVENIDA PROFESSOR SANDOVAL ARROXELAS, N. 552, Apto 302 ;435.000,00;435.000,00;0.00;Sim;Apartamento, 0.00 de área total, 81.32 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409972358
 8555525518030 ;AL ;MACEIO ;SANTA AMELIA ;AVENIDA JORGE MONTENEGRO BARROS, N. 3639, CS 159 TIPO B PAV TERREO ;190.000,00;190.000,00;0.00;Não;Casa, 109.95 de área total, 48.23 de área privativa, 54.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525518030
 8444405870567 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;1ª RUA PROJETADA, N. SN, CASA 04V QD VI MOD I ;131.500,00;131.500,00;0.00;Não;Casa, 50.05 de área total, 50.05 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405870567
 8555515686320 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; RUA EM PROJETO, N. 33, QUADRA OII LOTE 16  MODULO II ;126.257,10;126.257,10;0.00;Não;Casa, 50.05 de área total, 50.05 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555515686320
 8555535040671 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; AVENIDA B, N. 365, 10  F ;220.000,00;220.000,00;0.00;Não;Casa, 65.65 de área total, 52.63 de área privativa, 65.65 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555535040671
 8787702779915 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;ALAMEDA DOS ANTURIOS, N. 275, CASA 41  QD H ;222.000,00;222.000,00;0.00;Não;Casa, 79.00 de área total, 58.48 de área privativa, 89.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702779915
 8787704984206 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;AVENIDA BOSQUE DA CIMEIRA, N. 129, CS 61 QD G ;221.000,00;221.000,00;0.00;Não;Casa, 79.28 de área total, 58.48 de área privativa, 89.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704984206
 8787707270344 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;AVENIDA MENINO MARCELO, N. 2091, Apto 502, BL B ;238.936,34;238.936,34;0.00;Não;Apartamento, 66.86 de área total, 49.71 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707270344
 8787716725081 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL105, N. 442, CS 11 QD C ;210.000,00;210.000,00;0.00;Não;Casa, 76.63 de área total, 54.83 de área privativa, 153.55 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716725081
 8787702100467 ;AL ;MACEIO ;SAO JORGE ;RUA EM PROJETO A, N. 26, Apto AP 11, 11º PAVIMENTO ;354.000,00;354.000,00;0.00;Não;Apartamento, 43.99 de área total, 43.99 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702100467
 8787716749410 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL105, N. 442, CASA 114  QD B ;185.239,30;184.593,92;0.00;Não;Casa, 76.64 de área total, 54.83 de área privativa, 89.46 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716749410
 8787712210516 ;AL ;MACEIO ;PETROPOLIS ;RUA SAO LUIZ, N. 314, Apto 401, BL 07  VG 243 244 ;189.680,64;187.000,00;0.00;Não;Apartamento, 51.20 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787712210516
 1444406940340 ;AL ;MACEIO ;FAROL ;RUA JOANA DARC, N. 263, LT 17 QD H ;673.737,34;648.123,54;0.00;Não;Casa, 257.60 de área total, 257.60 de área privativa, 300.00 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), 1 lavabo(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406940340
 8787717177282 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL 105, N. 442, CS 02 QD A ;192.256,91;183.537,01;0.00;Não;Casa, 76.90 de área total, 55.01 de área privativa, 93.01 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717177282
 8787706584892 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA DOUTOR SEBASTIAO CORREIA DA ROCHA, N. 1165, Apto 303, BL 10 ;196.350,86;183.000,00;0.00;Não;Apartamento, 48.11 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706584892
 8787708854781 ;AL ;MACEIO ;SANTOS DUMONT ;AVENIDA TANCREDO NEVES, N. 335, Apto 101, BL 03 VG 85 ;193.392,45;180.000,00;0.00;Não;Apartamento, 117.02 de área total, 46.37 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708854781
 8787713855006 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL 105, N. 330, CS 44 QD B LT 3 ;187.190,88;174.042,48;0.00;Não;Casa, 79.25 de área total, 54.83 de área privativa, 89.46 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713855006
 8787715477220 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL105, N. 330, CS 45 QD C ;187.214,50;174.000,00;0.00;Não;Casa, 79.26 de área total, 54.83 de área privativa, 89.46 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715477220
 8787709722595 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;AVENIDA CARLOS GOMES DE BARROS, N. 396, Apto 404, BL 09 ;206.565,58;190.000,00;0.00;Não;Apartamento, 49.56 de área total, 40.28 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787709722595
 8787715272555 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;RUA DOS NAMBUS, N. 62, Apto 201, BLOCO 12  2º PAVIMENTO ;177.595,30;157.000,00;0.00;Não;Apartamento, 45.95 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715272555
 8787716090809 ;AL ;MACEIO ;TABULEIRO DO MARTINS ;RUA DOS NAMBUS, N. 62, Apto 504, BL 08 ;180.319,75;157.000,00;0.00;Não;Apartamento, 45.95 de área total, 38.40 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716090809
 8787716696790 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL105, N. 442, CS 20 QD C ;185.219,95;147.400,00;0.00;Não;Casa, 76.63 de área total, 54.83 de área privativa, 153.55 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787716696790
 8787702616153 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; ALAMEDA DOS ANTURIOS, N. 275, CS 66  QD E ;203.300,20;160.000,00;0.00;Não;Casa, 78.70 de área total, 58.26 de área privativa, 93.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702616153
 8787718678528 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ;RODOVIA AL 105, N. 442, CASA 65  QD C ;209.310,19;147.400,00;0.00;Não;Casa, 76.63 de área total, 54.83 de área privativa, 153.55 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718678528
 8787719775284 ;AL ;MACEIO ;CIDADE UNIVERSITARIA ; RODOVIA AL105, N. 442, CS 34 QD A ;234.391,70;146.800,00;0.00;Não;Casa, 76.90 de área total, 55.01 de área privativa, 93.01 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787719775284
 8555516870664 ;AL ;MARECHAL DEODORO ;TAPERAGUÁ ;RUA D, N. 27, QD 2A LT 30 ;201.668,50;201.668,50;0.00;Não;Casa, 50.00 de área total, 50.00 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555516870664
 8444409051943 ;AL ;MESSIAS ;CENTRO ; RUA FLORIANO PEIXOTO, N. ., LOTE 10 E 11 ;41.808,51;69.000,00;39.41;Não;Casa, 0.00 de área total, 96.00 de área privativa, 204.00 de área do terreno,  2 qto(s), a.serv, WC, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409051943
 8444407121081 ;AL ;PORTO CALVO ;CENTRO ; LOTEAMENTO MARIA CICERA, N. SN, LT 03 QD 08 ;192.993,35;192.993,35;0.00;Não;Casa, 85.00 de área total, 85.00 de área privativa, 91.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407121081
 8444428525890 ;AL ;SAO JOSE DA TAPERA ;CENTRO ; RUA NOBERTO BARRETO MUNIZ, N. 166, LOTE 11  QUADRA C1 ;213.000,00;213.000,00;0.00;Não;Casa, 90.65 de área total, 90.65 de área privativa, 240.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428525890
 8444418119911 ;AL ;SATUBA ;PORTAL DO RENASCER ; RUA EM PROJETO, N. 02, QD K LT 03 ;57.384,39;120.000,00;52.18;Não;Casa, 79.24 de área total, 17.74 de área privativa, 167.26 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418119911
 8444407154591 ;AL ;TAQUARANA ;Pai João ;RUA PROJETADA 08, N. 255, ;144.000,00;144.000,00;0.00;Não;Casa, 0.00 de área total, 60.77 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407154591
 8555534466675 ;AL ;TEOTONIO VILELA ;SAO JORGE ;RUA 16 DE SETEMBRO, N. 567, LT 16 QD S-2 ;55.561,34;92.000,00;39.61;Não;Casa, 72.00 de área total, 72.00 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534466675
 8444408437317 ;AM ;COARI ;CENTRO ;BECO EDUARDO RIBEIRO, N. SN, ;47.867,71;79.000,00;39.41;Não;Casa, 0.00 de área total, 86.00 de área privativa, 117.30 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408437317
 1787701790283 ;AM ;IRANDUBA ;LOT NOVA AMAZONAS I ;RUA ACAJATUBA, N. SN,  ESTRADA CARLOS BRAGA LT 02 QD 37 KM08 ;106.845,56;173.000,00;38.24;Não;Casa, 54.09 de área total, 54.09 de área privativa, 200.29 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1787701790283
